condition,macro_auc_max,macro_auc_mean,macro_auc_min,macro_auc_n,macro_auc_std,macro_auprc_max,macro_auprc_mean,macro_auprc_min,macro_auprc_n,macro_auprc_std,macro_brier_max,macro_brier_mean,macro_brier_min,macro_brier_n,macro_brier_std,macro_ece_max,macro_ece_mean,macro_ece_min,macro_ece_n,macro_ece_std,n_runs,variant
normal,0.9285736151821469,0.9270652927866747,0.9250234705927436,20,0.0010978586441991677,0.820943872340694,0.8175517506212968,0.811213964636071,20,0.002478803110456448,0.10363460960974993,0.098151045927975,0.0956076532378027,20,0.0018596450397520606,0.0923530616721151,0.07823175111526483,0.07255354038252494,20,0.004310342326678481,20,none
shuffle_val,0.9285736151821469,0.9270652927866747,0.9250234705927436,20,0.0010978586441991677,0.820943872340694,0.8175517506212968,0.811213964636071,20,0.002478803110456448,0.10363460960974993,0.098151045927975,0.0956076532378027,20,0.0018596450397520606,0.0923530616721151,0.07823175111526483,0.07255354038252494,20,0.004310342326678481,20,none
mask_only,0.9285736151821469,0.9270652927866747,0.9250234705927436,20,0.0010978586441991677,0.820943872340694,0.8175517506212968,0.811213964636071,20,0.002478803110456448,0.10363460960974993,0.098151045927975,0.0956076532378027,20,0.0018596450397520606,0.0923530616721151,0.07823175111526483,0.07255354038252494,20,0.004310342326678481,20,none
none,0.9285736151821469,0.9270652927866747,0.9250234705927436,20,0.0010978586441991677,0.820943872340694,0.8175517506212968,0.811213964636071,20,0.002478803110456448,0.10363460960974993,0.098151045927975,0.0956076532378027,20,0.0018596450397520606,0.0923530616721151,0.07823175111526483,0.07255354038252494,20,0.004310342326678481,20,none
normal,0.9295051929671599,0.9277178320930053,0.9259502473332123,20,0.0010398302991533835,0.8235052608742024,0.8195485741533876,0.813394647134378,20,0.002846871315733743,0.1004856127318173,0.09751801262873548,0.09565041001410904,20,0.0012494666059296403,0.08493349430490534,0.07728411904481006,0.07168114218008234,20,0.003075237127235041,20,demo
shuffle_val,0.9288810155454665,0.9266055783058125,0.924239374127097,20,0.0012370682597437647,0.8222494580035844,0.817752868838711,0.8117847819934434,20,0.002985431870254321,0.10073980899232735,0.09780045837024583,0.0959061314845736,20,0.0012612207647726863,0.08426025508445734,0.0760853376308958,0.0710686069791048,20,0.002921279434464861,20,demo
mask_only,0.929811616812785,0.9276699433170824,0.9259676969406805,20,0.0011356949021564518,0.8230845907469287,0.819219522531361,0.8127309501050648,20,0.0028214730065452566,0.1011184285233195,0.09778617862314673,0.09594509243513501,20,0.0013903557487317353,0.08544008706185684,0.07750962994590066,0.07071806259802883,20,0.003671403623146456,20,demo
none,0.9297289866862787,0.9276293872587082,0.9257761324333167,20,0.0011491393975287332,0.8229591593178771,0.8190755998090257,0.8123912534276766,20,0.0028523797209317934,0.10212662427831624,0.09842763330929043,0.0966785777219832,20,0.0013631396057111427,0.08827465309803464,0.07908512712231323,0.07245104652881762,20,0.003480942211566261,20,demo
normal,0.9307897168846091,0.9289341526040579,0.9262236280898893,20,0.0012928020216439896,0.8260524267573335,0.8217974282389304,0.8168842957278478,20,0.0027097236708691287,0.09901198737490349,0.0961033379595984,0.09403624658072181,20,0.0013165834071281017,0.08007242210545082,0.07537775935255456,0.07103712314666785,20,0.0025819415799496308,20,demo+anthro
shuffle_val,0.9295695236104174,0.9270663048234935,0.9244110922251499,20,0.0015678965352539484,0.823214089680589,0.8175385801007499,0.8121759406973125,20,0.0031833650535840127,0.09946695320511037,0.09699318281391407,0.09503188898158578,20,0.0012812880386378531,0.08008343758144405,0.07475369491659714,0.0708355260405232,20,0.0026931214005654564,20,demo+anthro
mask_only,0.9307869672026582,0.9286834846864194,0.9256887369036603,20,0.0013241697186177068,0.8254444776969073,0.8208011075729337,0.8157549650013889,20,0.002686935755886211,0.10057310927323644,0.09653098609151377,0.09449572360527457,20,0.0016374677990574757,0.08424143868326703,0.07594367552118172,0.07080062549088037,20,0.003698177446747431,20,demo+anthro
none,0.929351316855261,0.9275372981219464,0.9251137108133618,20,0.0012954576461738487,0.8229945421911096,0.8186887846704552,0.8124524956844315,20,0.0027632274118557015,0.10135361292686182,0.09819720047136998,0.09651971780890004,20,0.001298247001752752,0.08509955334945637,0.07877257427074795,0.07349769330733294,20,0.0029019222173094204,20,demo+anthro
