normal_minus_recorded_macro_auc_abs,presence_signal_mask_only_minus_none,seed,shuffle_residual_shuffle_minus_mask_only,total_metadata_signal_normal_minus_none,value_content_signal_normal_minus_shuffle,variant
0.0,0.0,2024,0.0,0.0,0.0,none
0.0,0.0,2025,0.0,0.0,0.0,none
0.0,0.0,2026,0.0,0.0,0.0,none
0.0,0.0,2027,0.0,0.0,0.0,none
0.0,0.0,2028,0.0,0.0,0.0,none
0.0,0.0,2029,0.0,0.0,0.0,none
0.0,0.0,2030,0.0,0.0,0.0,none
0.0,0.0,2031,0.0,0.0,0.0,none
0.0,0.0,2032,0.0,0.0,0.0,none
0.0,0.0,2033,0.0,0.0,0.0,none
1.1445353587102858e-07,0.0,2034,0.0,0.0,0.0,none
1.1032656654919037e-07,0.0,2035,0.0,0.0,0.0,none
0.0,0.0,2036,0.0,0.0,0.0,none
0.0,0.0,2037,0.0,0.0,0.0,none
8.408272056392718e-08,0.0,2038,0.0,0.0,0.0,none
0.0,0.0,2039,0.0,0.0,0.0,none
0.0,0.0,2040,0.0,0.0,0.0,none
0.0,0.0,2041,0.0,0.0,0.0,none
0.0,0.0,2042,0.0,0.0,0.0,none
0.0,0.0,2043,0.0,0.0,0.0,none
0.0,6.4941786506178545e-06,2024,-0.0007988586161102873,0.00016302317699812274,0.0009553876144577922,demo
0.0,3.5199328785040507e-07,2025,-0.0006290991488419051,-0.00019940972692011893,0.00042933742863393576,demo
0.0,6.316529660532755e-05,2026,-0.0011624090807759169,-7.665851782623356e-05,0.0010225852663443558,demo
0.0,-5.834945599247909e-06,2027,-0.0006987900494191956,-0.0004983670744929114,0.00020625792052553216,demo
0.0,2.533405783822218e-05,2028,-0.0009154359114946775,0.00016296775879498515,0.0010530696124514405,demo
0.0,3.265172127109306e-05,2029,-0.0007925716090741997,0.00044682964285036597,0.0012067495306534726,demo
0.0,4.718773764278428e-05,2030,-0.0008656771053109358,0.00032235762599908124,0.0011408469936672327,demo
0.0,1.1335188043637423e-05,2031,-0.0009256758527291797,0.00039562457690178743,0.0013099652415873297,demo
0.0,8.525650234691984e-05,2032,-0.0021996556537474676,0.0001260624575756264,0.002240461608976174,demo
0.0,5.794968695094216e-05,2033,-0.001019592440731465,0.00044493750891450023,0.001406580262695023,demo
0.0,7.217149075300355e-05,2034,-0.0014951780332255193,-0.00012164070152831385,0.001301365840944202,demo
0.0,8.263012650633339e-05,2035,-0.0013306441270439784,-0.0002237937191187367,0.0010242202814189083,demo
0.0,1.6845701531265078e-05,2036,-0.0016091203143721033,0.00025317455749340745,0.0018454491703342457,demo
0.0,3.776097460728156e-05,2037,-0.0008350168203087316,0.0003677725420140332,0.0011650283877154832,demo
0.0,0.00019812293036447493,2038,-0.0005822368626610119,0.00017411489989560547,0.0005582288321921425,demo
0.0,-1.641309420841175e-05,2039,-0.0009282892487156857,-0.0006404940328769149,0.00030420831004718263,demo
0.0,1.629206572484332e-05,2040,-0.0018204446909170224,0.00011713034196680905,0.0019212829671589882,demo
1.1445353564898397e-07,-1.4341572485143672e-06,2041,-0.0006624554997395338,0.00013112079399058008,0.0007950104509786282,demo
0.0,4.3125298713198035e-05,2042,-0.0011263769302063409,0.00025323907368957066,0.0013364907051827135,demo
0.0,3.8128413701321584e-05,2043,-0.0008897722299738842,0.00017090550162279783,0.0010225493178953604,demo
0.0,0.0011929863431854315,2024,-0.001177101063336461,0.001502798169452757,0.0014869128896037864,demo+anthro
0.0,0.0012826355785635624,2025,-0.0018130931994886357,0.0013571436459529629,0.0018876012668780362,demo+anthro
0.0,0.0007612429145736899,2026,-0.0010690702085767168,0.0013657565735485377,0.0016735838675515646,demo+anthro
0.0,0.0009397100576744588,2027,-0.002191810180039111,0.001750670538054444,0.0030027706604190962,demo+anthro
0.0,0.0006271205045493833,2028,-0.0009768515153929513,0.001302078318176636,0.001651809329020204,demo+anthro
0.0,0.0006323992489382091,2029,-0.0022274264344640526,0.0004989274677491551,0.0020939546532749986,demo+anthro
0.0,0.0017490620687883318,2030,-0.0008639473535854147,0.0023275215698331797,0.0014424068546302626,demo+anthro
0.0,0.0013279461603175058,2031,-0.0011201117526762339,0.0012887971548473098,0.001080962747206038,demo+anthro
1.9714844468055048e-07,0.0014220872610297697,2032,-0.002737223279825063,0.0015146891297264098,0.002829825148521703,demo+anthro
0.0,0.0012668805451256926,2033,-0.0026683235869547905,0.0003401857172008471,0.001741628759029945,demo+anthro
0.0,0.0012785032009203778,2034,-0.0006538814960578287,0.0008866779854452833,0.0002620562805827342,demo+anthro
0.0,0.0014737618424337517,2035,-0.0022530961760064416,0.0014765115243846605,0.0022558458579573504,demo+anthro
0.0,0.0012883021288900842,2036,-0.0014877546880082138,0.0014072297427731861,0.0016066823018913157,demo+anthro
1.1032656654919037e-07,0.0006740575311453556,2037,-0.0021729052210671673,0.0013979387646022579,0.0028967864545240696,demo+anthro
0.0,0.0017854430351510464,2038,-0.0017173159042306319,0.0015353995099492979,0.0014672723790288833,demo+anthro
0.0,0.0011538004990409023,2039,-0.001800466478203977,0.0004931314997335123,0.001139797478896587,demo+anthro
0.0,0.0005750260902984694,2040,-0.0012776446785103257,0.0014917406519807663,0.0021943592401926226,demo+anthro
0.0,0.0011982371560002036,2041,-0.0020132031303811138,0.001989681081678518,0.0028046470560594283,demo+anthro
0.0,0.0014929829758084656,2042,-0.0007994099899870655,0.0023377039732901395,0.0016441309874687393,demo+anthro
0.0,0.0008015461470224361,2043,-0.0013229609217195737,0.0016725066238506558,0.0021939213985477934,demo+anthro
